gr,gi
ESTAR MUITO FELIZ [PONTO],(+)FELIZ [PONTO]
EU SER MUITO FELIZ [PONTO],(+)FELIZ [PONTO]
ESTAR MUITO FELIZ [PONTO],(+)FELIZ [PONTO]
EU SER MUITO FELIZ [PONTO],(+)FELIZ [PONTO]
ESTAR MUITO FELIZ [PONTO],(+)FELIZ [PONTO]
EU ESTAR MUITO FELIZ [PONTO],(+)FELIZ [PONTO]
FICAR MUITO FELIZ [PONTO],(+)FELIZ [PONTO]
EU FICAR MUITO FELIZ,(+)FELIZ [PONTO]
ESTAR MUITO FELIZ POR ESTAR CASA [PONTO],(+)FELIZ CASA [PONTO]
ESTAR MUITO FELIZ GEÓRGIA [PONTO],(+)FELIZ GEÓRGIA_PAÍS [PONTO]
SER MUITO FELIZ GEÓRGIA [PONTO],(+)FELIZ GEÓRGIA_PAÍS [PONTO]
ESTAR MUITO FELIZ TE VER NOVO [PONTO],(+)FELIZ VER DE_NOVO [PONTO]
EU ESTAR MUITO FELIZ TE VER NOVO [PONTO],(+)FELIZ VER DE_NOVO [PONTO]
ESTAR TÃO FELIZ POR VOCÊS 2 [EXCLAMAÇÃO],(+)FELIZ VOCÊS_2 [EXCLAMAÇÃO]
SER MUITO FINO [PONTO],(+)FINO [PONTO]
ESTAR MORTO FOME [PONTO],(+)FOME [PONTO]
EU ESTAR BEM FAMINTO [PONTO],(+)FOME [PONTO]
EU ESTAR BEM FAMINTA [PONTO],(+)FOME [PONTO]
EU ESTAR COM BASTANTE FOME [PONTO],(+)FOME [PONTO]
ESTAR COM MUITO FOME AGORA [PONTO],(+)FOME AGORA [PONTO]
EU SER MUITO FORTE [PONTO],(+)FORTE [PONTO]
ESTAR MUITO FRIO [PONTO],(+)FRIO [PONTO]
ESTAR FRIO DEMAIS [PONTO],(+)FRIO [PONTO]
ESTAR MUITO FRIO [PONTO],(+)FRIO [PONTO]
ESTAR MUITO FRIO [PONTO],(+)FRIO [PONTO]
ESTAR BASTANTE FRIO [PONTO],(+)FRIO [PONTO]
ESTAR COM MUITO FRIO [PONTO],(+)FRIO [PONTO]
ESTAR FAZER MUITO FRIO [PONTO],(+)FRIO [PONTO]
ESTAR MUITO FRIO [PONTO],(+)FRIO [PONTO]
ESTAR MUITO FRIO [PONTO],(+)FRIO [PONTO]
ESTAR BASTANTE FRIO [PONTO],(+)FRIO [PONTO]
ESTAR MUITO FRIO [PONTO],(+)FRIO [PONTO]
ESTAR BASTANTE FRIO [PONTO],(+)FRIO [PONTO]
ESTAR MUITO FRIO AGORA [PONTO],(+)FRIO AGORA [PONTO]
ESTAR MUITO FRIO AQUELE ANOITECER [PONTO],(+)FRIO ANOITECER [PONTO]
ESTAR MUITO FRIO AQUI [PONTO],(+)FRIO AQUI [PONTO]
ESTAR MUITO FRIO AQUI [PONTO],(+)FRIO AQUI [PONTO]
ESTAR MUITO FRIO BOSTON [PONTO],(+)FRIO BOSTON_CIDADE [PONTO]
POXA ESTAR MUITO FRIO HOJE [PONTO],(+)FRIO HOJE [PONTO]
ESTAR MUITO FRIO PARA MIM AQUI DENTRO [PONTO],(+)FRIO MIM AQUI DENTRO [PONTO]
ESTAR MUITO FRIO MEU CASA [PONTO],(+)FRIO MINHA CASA [PONTO]
SER MUITO FRIO MEU CASA [PONTO],(+)FRIO MINHA CASA [PONTO]
ESTAR FRIO DEMAIS PARA NADAR [PONTO],(+)FRIO NADAR [PONTO]
QUÃO FUNDO [INTERROGAÇÃO],(+)FUNDO [INTERROGAÇÃO]
SER MAIS GATO QUE VOCÊS [PONTO],(+)GATO DO_QUE VOCÊS [PONTO]
MUITO GENTE PENSAR QUE EU ESTAR ALOUCAR [PONTO],(+)GENTE PENSAR EU LOUCO [PONTO]
MUITO GENTE ACHAR QUE EU ESTAR ALOUCAR [PONTO],(+)GENTE PENSAR EU LOUCO [PONTO]
EU GOSTO MUITO ALHO [PONTO],(+)GOSTAR ALHO [PONTO]
EU GOSTO MUITO AMBAS [PONTO],(+)GOSTAR AMBOS [PONTO]
GOSTO MUITO ANIMAL [PONTO],(+)GOSTAR ANIMAL [PONTO]
GOSTO MUITO ANIMAL [PONTO],(+)GOSTAR ANIMAL [PONTO]
EU GOSTO MUITO BOSTON [PONTO],(+)GOSTAR BOSTON_CIDADE [PONTO]
GOSTO MUITO ESTE CANTOR [PONTO],(+)GOSTAR CANTOR [PONTO]
GOSTO MUITO ESTE CANTOR [PONTO],(+)GOSTAR CANTORA [PONTO]
EU GOSTO MUITO CACHORRO [PONTO],(+)GOSTAR CÃO [PONTO]
GOSTO MUITO CHINA [PONTO],(+)GOSTAR CHINA [PONTO]
GOSTO MUITO CHINA [PONTO],(+)GOSTAR CHINA_PAÍS [PONTO]
GOSTAR MUITO CONVERSAR COM TOM [PONTO],(+)GOSTAR CONVERSAR TOM [PONTO]
GOSTO MUITO ELE [PONTO],(+)GOSTAR DELE [PONTO]
GOSTO MUITO ELE [PONTO],(+)GOSTAR DELE [PONTO]
EU GOSTAR MUITO AQUELE FILME [PONTO],(+)GOSTAR FILME [PONTO]
EU GOSTO MUITO FILME [PONTO],(+)GOSTAR FILME [PONTO]
EU GOSTO MAIS MATEMÁTICA [PONTO],(+)GOSTAR MATEMÁTICA [PONTO]
EU GOSTO MUITO MORANGO [PONTO],(+)GOSTAR MORANGO [PONTO]
EU GOSTO MÚSICA ESPECIALMENTE ROCK [PONTO],(+)GOSTAR MÚSICA ESPECIALMENTE ROCK [PONTO]
EU GOSTO MUITO MÚSICA CLÁSSICO [PONTO],(+)GOSTAR MÚSICA_CLÁSSICA [PONTO]
EU GOSTAR MUITO SEU HISTÓRIA [PONTO],(+)GOSTAR SUA HISTÓRIA [PONTO]
EU GOSTO MUITO SEU IRMÃ [PONTO],(+)GOSTAR SUA IRMÃ [PONTO]
EU GOSTO MUITO TCHECOSLOVÁQUIA [PONTO],(+)GOSTAR TCHECOSLOVÁQUIA_PAÍS [PONTO]
EU GOSTO MUITO TOM [PONTO],(+)GOSTAR TOM [PONTO]
GOSTO MUITO TOM [PONTO],(+)GOSTAR TOM [PONTO]
GOSTO MUITO TOM [PONTO],(+)GOSTAR TOM [PONTO]
EU GOSTO MUITO TOM [PONTO],(+)GOSTAR TOM [PONTO]
GOSTO MUITO TOM [PONTO],(+)GOSTAR TOM [PONTO]
EU GOSTO MUITO TOM [PONTO],(+)GOSTAR TOM [PONTO]
GOSTO MUITO TOM [PONTO],(+)GOSTAR TOM [PONTO]
EU GOSTO MUITO TREM [PONTO],(+)GOSTAR TREM [PONTO]
EU GOSTO MUITO ESTE VINHO [PONTO],(+)GOSTAR VINHO_TINTO [PONTO]
GOSTO MUITO ESTE VINHO [PONTO],(+)GOSTAR VINHO_TINTO [PONTO]
GOSTO DEMAIS DESSE VINHO [PONTO],(+)GOSTAR VINHO_TINTO [PONTO]
EU GOSTO MUITO VOCÊ [PONTO],(+)GOSTAR VOCÊ [PONTO]
GOSTO MUITO VOCÊ [PONTO],(+)GOSTAR VOCÊ [PONTO]
GOSTO VOCÊ VERDADE [PONTO],(+)GOSTAR VOCÊ [PONTO]
EU GOSTO VOCÊ VERDADE [PONTO],(+)GOSTAR VOCÊ [PONTO]
EU GOSTO MUITO VOCÊ [PONTO],(+)GOSTAR VOCÊ [PONTO]
GOSTO MUITO VOCÊ [PONTO],(+)GOSTAR VOCÊ [PONTO]
EU GOSTO MUITO VOCÊ [PONTO],(+)GOSTAR VOCÊ [PONTO]
GOSTO MUITO VOCÊS [PONTO],(+)GOSTAR VOCÊS [PONTO]
EU GOSTO MUITO VOCÊS [PONTO],(+)GOSTAR VOCÊS [PONTO]
GOSTO MUITO VOCÊS [PONTO],(+)GOSTAR VOCÊS [PONTO]
EU GOSTO MUITO VOCÊS [PONTO],(+)GOSTAR VOCÊS [PONTO]
SER MUITO GOSTOSO [PONTO],(+)GOSTOSO [PONTO]
SER MUITO GRANDE [EXCLAMAÇÃO],(+)GRANDE [EXCLAMAÇÃO]
SER GRANDE DEMAIS [INTERROGAÇÃO],(+)GRANDE [INTERROGAÇÃO]
SER MUITO GRANDE [PONTO],(+)GRANDE [PONTO]
SER GRANDE DEMAIS [PONTO],(+)GRANDE [PONTO]
SER DEMASIADO GRANDE [PONTO],(+)GRANDE [PONTO]
SER MUITO GRANDE [PONTO],(+)GRANDE [PONTO]
SER MUITO GRANDE [PONTO],(+)GRANDE [PONTO]
SER MUITO GRANDE [PONTO],(+)GRANDE [PONTO]
SER MUITO GRANDE [PONTO],(+)GRANDE [PONTO]
ISSO SER BEM GRANDE [PONTO],(+)GRANDE [PONTO]
SER MUITO GRATIFICAR [PONTO],(+)GRATIFICANTE [PONTO]
MUITO HISTORIADOR ARTE DESCONFIAR QUE REVERÊNCIA DA VINCI MONA LISA NADA TER VER COM SEU MAESTRIA ARTÍSTICO [PONTO] SEGUNDO MUITO AFIRMAR DEVER ALGO MUITO BEM MAIS APROFUNDAR MENSAGEM OCULTAR CAMADA PINTURA [PONTO],(+)HISTORIADOR ARTE DESCONFIAR REVERÊNCIA VINCI  MONA LISA NÃO_TER SUA MAESTRIA ARTÍSTICA [PONTO] SEGUNDO (+)AFIRMAR ALGO (+)BEM MAIS_QUANTIDADE PROFUNDO MENSAGEM OCULTA CAMADA PINTURA [PONTO]
EU SER MUITO HUMILDE [PONTO],(+)HUMILDE [PONTO]
SER MUITO HUMILDE [PONTO],(+)HUMILDE [PONTO]
MAIS IMPORTANTE SER AUSÊNCIA INFORMAÇÃO PARA COMPROVAR SE TEORIA SER MAIS CORRETA QUE TEORIA B AMBAS TER MESMO RESULTADO PORÉM CÁLCULO ARGUMENTO TEORIA SER MUITO MAIS COMPLEXO QUE PARA TEORIA B [PONTO],(+)IMPORTANTE FALTAR DADOS COMPROVAR TEORIA CORRETA TEORIA B AMBA TER MESMO RESULTADO CÁLCULO ARGUMENTO TEORIA COMPLEXA TEORIA B [PONTO]
GRANDE IMPORTÂNCIA JOÃO CASTILHO QUADRO ARQUITETURA PORTUGUÊS IDADE MODERNA SER QUE SE LHE DEVER TRIBUTAR MAIS QUE QUALQUER OUTRO GRANDE MESTRE FORMAÇÃO GÓTICO-MANUELINA … DESCOBERTA MUITO PESSOAL HUMANIZAR RECEITUÁRIO RENASCENTISTA ITÁLIA FAZER ASSIM ESPÉCIE CONTRAPONTO COM TODO SEU PRECEDENTE ABUNDANTÍSSIMA PRODUÇÃO [PONTO] SOB ESTÍMULO EMINENTE HUMANISTA JERÓNIMO FREI ANTÓNIO LISBOA INFORMAR NOVO VIA ARTÍSTICO ATRAVÉS EXEMPLO ESCULTURA COMO NICOLAU CHANTERENE COM QUAL COLABORAR JERÓNIMOS JOÃO RUÃO QUE CONTACTAR ESSE MESMO ANO AQUANDO EDIFICAR IGREJA MATRIZ ATALAIA CONHECEDOR TRATADO ARQUITETÓNICOS LEON BATTISTA ALBERTI DIEGO SAGREDO OU TRADUÇÃO LIVRO VITRÚVIO POR CESARE CESARIANO JOÃO CASTILHO OPERAR COMPLETO INVERSÃO ESTRADA DEMONSTRAR SOLIDIFICAR CONHECIMENTO MODO ITALIANO CONSTRUIR PARA_QUE PODER TER CONTRIBUIR AINDA POSSÍVEL VIAGEM NÁPOLES QUE NÃO EXISTIR DOCUMENTAR COMPROVATIVO ÉPOCA [PONTO] SEU MONUMENTAL OBRA_PRIMA ESTE SEGUNDA FASE CARREIRA SER REALIZAR DURANTE MAIS 20 ANO C [PONTO] 15321552 DEDICAR RECONFIGURAR AMPLIAR CONVENTO CRISTO TOMAR ONDE VISÃO SOBRECARREGAR MANUELINO CEDER LUGAR SUPERFÍCIE PLANO RECORTAR GRANDE CLAREAR COM SISTEMA COLUNÁRIOS CAPITEL INSPIRAR CLÁSSICO [PONTO] PURA ARQUITETURA VANGUARDA PALAVRA PAULO PEREIRA [PONTO],(+)IMPORTANTE JOÃO CASTILHO QUADRO ARQUITETURA PORTUGAL_PAÍS IDADE MODERNA DEVER_OBRIGAÇÃO TRIBUTAR MAIS_QUANTIDADE 1S_DO_QUE_2S OUTRO MESTRE FORMAÇÃO GÓTICO MANUELINA ENOCNTRAR PESSOAL HUMANIZADO RECEITUÁRIO RENASCIMENTO ITÁLIA_PAÍS ESPÉCIE PRECEDENTE ABUNDANTE PRODUÇÃO [PONTO] ESTIMULAR HUMANISTA JERÔNIMO FREI ANTÔNIO LISBOA AVISAR NOVO_RECENTE ARTÍSTICO EXEMPLO ESCULTOR NICOLAU CHANTERENE COLABORAR_AJUDAR JERÕNIMO JOÃO RUÃO CONTACTAR ANO_DATA QUANDO EDIFICAÇÃO IGREJA MATRIZ ATALAIA TRATADO ARQUITETURA LEON BATTISTA ALBERTI DIEGO SAGREDO TRADUÇÃO LIVRO VITRÚVIO CESARE CESARIANO JOÃO CASTILHO AGIR COMPLETAR INVERSÃO ESTRADA DEMONSTRAR SOLIDIFICADO CONHECIMENTO ITÁLIA_PAÍS CONSTRUIR PODER_POSSIBILIDADE CONTRIBUIR VIAGEM NÁPOLES NÃO_TER DOCUMENTAÇÃO COMPROVAR ÉPOCA [PONTO] MONUMENTAL OBRA_PRIMA SEGUNDO_SEQUÊNCIA FASE CARREIRA_PROFISSÃO FUTURO REALIZADA DURANTE MAIS 20 ANO_DATA 100 1532-1552 DEDICADO RECONFIGURAÇÃO AMPLIAÇÃO CONVENTO CRISTO VISÃO SOBRECARREGAR MANUELINO CEDER SUPERFÍCIE PLANO_LISO RECORTAR CLAREZA SISTEMA COLUNÁRIO CAPITEL INSPIRAÇÃO CLÁSSICO [PONTO] ARQUITETURA VANGUARDA PALAVRA PAULO PEREIRA [PONTO]
ESTAR MUITO IMPRESSIONAR [PONTO],(+)IMPRESSIONADO [PONTO]
SER MUITO IMPROVAR [PONTO],(+)IMPROVÁVEL [PONTO]
ISSO SER MUITO INADEQUADO [PONTO],(+)INAPROPRIADO [PONTO]
EU ESTAR MUITO INFELIZ [PONTO],(+)INFELIZ [PONTO]
ESTAR MUITO INFELIZ [PONTO],(+)INFELIZ [PONTO]
SER MUITO INFELIZ [PONTO],(+)INFELIZ [PONTO]
ESTAR MUITO INFELIZ [PONTO],(+)INFELIZ [PONTO]
ESTAR MUITO INFELIZ AQUI [PONTO],(+)INFELIZ AQUI [PONTO]
ISSO IR MUITO INTERESSANTE [PONTO],(+)INTERESSANTE [PONTO]
IR MUITO INTERESSANTE MESMO [PONTO],(+)INTERESSANTE MESMO [PONTO]
SER MUITO INTRIGANTE [PONTO],(+)INTRIGANTE [PONTO]
LER MUITO [PONTO],(+)LER [PONTO]
EU LER MUITO [PONTO],(+)LER [PONTO]
ESTAR MUITO LIMPO [PONTO],(+)LIMPO [PONTO]
EU FICAR MUITO LISONJEAR [PONTO],(+)LISONJEADO [PONTO]
AINDA ESTAR MUITO LONGE [INTERROGAÇÃO],(+)LONGE [INTERROGAÇÃO]
SER LONGE DEMAIS [PONTO],(+)LONGE [PONTO]
ESTAR LONGE DEMAIS [PONTO],(+)LONGE [PONTO]
ISSO SER LONGE DEMAIS [PONTO],(+)LONGE [PONTO]
ISSO ESTAR LONGE DEMAIS [PONTO],(+)LONGE [PONTO]
ISTO ESTAR LONGE DEMAIS [PONTO],(+)LONGE [PONTO]
TANTO MACHO QUANTO FÊMEA UTILIZAR MARCAÇÃO COM CHEIRO MAS MACHO FAZER ISSO COM MAIS FREQUÊNCIA PRINCIPALMENTE PERÍODO ESTRO FÊMEA [PONTO],(+)MACHO QUANTO FÊMEA UTILIZAR MARCAÇÃO CHEIRO_ODOR MACHO FAZER ISSO (+)FREQUÊNCIA PRINCIPALMENTE PERÍODO ESTRO FÊMEA [PONTO]
TER MUITO MEDO [PONTO],(+)MEDO [PONTO]
ESTAR COM MUITO MEDO [PONTO],(+)MEDO [PONTO]
EU ESTAR COM MUITO MEDO [PONTO],(+)MEDO [PONTO]
EU ESTAR MUITO NERVOSO [PONTO],(+)NERVOSO [PONTO]
ESTAR MUITO NERVOSO [PONTO],(+)NERVOSO [PONTO]
EU ESTAR MUITO NERVOSO [PONTO],(+)NERVOSO [PONTO]
ESTAR MUITO NERVOSO [PONTO],(+)NERVOSO [PONTO]
NEVOU MUITO [PONTO],(+)NEVAR [PONTO]
SER NEVASCA [PONTO],(+)NEVAR [PONTO]
SER MUITO NORMAL [PONTO],(+)NORMAL [PONTO]
SER MUITO NORMAL [PONTO],(+)NORMAL [PONTO]
SER MUITO NUMEROSO BRASIL [PONTO] VIVER BOSQUE ONDE FAZER SEUS NINHO ABRIR CAVIDADE TRONCO ÁRVORE SER ESSE MOTIVO NOMENCLATURA PICA_PAU [PONTO] ELES SER CAPAZ DAR 100 BICAR POR MINUTO TRONCO ÁRVORE [PONTO],(+)NUMEROSO BRASIL_PAÍS [PONTO] VIVER BOSQUE ONDE FAZER SEU NINHO ABRIR CAVIDADE TRONCO ÁRVOR ESSE MOTIVO NOMENCLATURA PICA_PAU [PONTO] ELES CAPAZ 1S_DAR_2S 100 BICADA MINUTO TRONCO ÁRVORE [PONTO]
SER MUITO NUTRITIVO [PONTO],(+)NUTRITIVO [PONTO]
MUITO MUITO OBRIGAR [EXCLAMAÇÃO],(+)OBRIGADO [EXCLAMAÇÃO]
MUITO OBRIGAR [PONTO],(+)OBRIGADO [PONTO]
MUITO OBRIGAR [PONTO],(+)OBRIGADO [PONTO]
MUITO OBRIGAR AJUDA [PONTO],(+)OBRIGADO AJUDA [PONTO]
MUITO OBRIGAR ALMOÇO [PONTO],(+)OBRIGADO ALMOÇO [PONTO]
MUITO OBRIGAR ALMOÇO [PONTO],(+)OBRIGADO ALMOÇO [PONTO]
MUITO OBRIGAR CONSELHO [PONTO],(+)OBRIGADO CONSELHO_ACONSELHAR [PONTO]
MUITO OBRIGAR POR TER VIR [PONTO],(+)OBRIGADO TER VINDO [PONTO]
MUITO OBRIGAR TODO [PONTO],(+)OBRIGADO TODO [PONTO]
MUITO OBRIGAR MESMO [EXCLAMAÇÃO],(+)OBRIGADO VERDADE [EXCLAMAÇÃO]
ESTAR MUITO OCUPAR [PONTO],(+)OCUPADO [PONTO]
ESTAR MUITO OCUPAR [PONTO],(+)OCUPADO [PONTO]
EU ESTAR MUITO OCUPAR [PONTO],(+)OCUPADO [PONTO]
ESTAR MUITO OCUPAR [PONTO],(+)OCUPADO [PONTO]
ESTAR BASTANTE OCUPAR HOJE [PONTO],(+)OCUPADO HOJE [PONTO]
EU ESTAR MUITO OCUPAR HOJE [PONTO],(+)OCUPADO HOJE [PONTO]
ESTAR MUITO OCUPAR HOJE [PONTO],(+)OCUPADO HOJE [PONTO]
ESTAR MUITO OCUPAR HOJE [PONTO],(+)OCUPADO HOJE [PONTO]
ESTAR OCUPAR DEMAIS PARA IR [PONTO],(+)OCUPADO IR [PONTO]
TER ESTAR MUITO OCUPAR ULTIMAMENTE [PONTO],(+)OCUPADO ULTIMAMENTE [PONTO]
FICAR MUITO ORGULHOSO MEU FILHO [PONTO],(+)ORGULHOSO MEU FILHO [PONTO]
FICAR MUITO ORGULHOSO MEU FILHO [PONTO],(+)ORGULHOSO MEU FILHO [PONTO]
FAZER TANTO TEMPO [PONTO],(+)PASSADO [PONTO]
PENSAR MUITO VOCÊ [PONTO],(+)PENSAR VOCÊ [PONTO]
EU SER MUITO PEQUENO [PONTO],(+)PEQUENO [PONTO]
SER MUITO PEQUENO [PONTO],(+)PEQUENO [PONTO]
SER MUITO PEQUENO [PONTO],(+)PEQUENO [PONTO]
SER MUITO PEQUENO [PONTO],(+)PEQUENO [PONTO]
ESTAR MUITO PEQUENO [PONTO],(+)PEQUENO [PONTO]
SER MUITO PEQUENO [PONTO],(+)PEQUENO [PONTO]
ESTAR MUITO PEQUENO [PONTO],(+)PEQUENO [PONTO]
SER MUITO ARRISCAR [PONTO],(+)PERIGO [PONTO]
SER MUITO PERIGOSO [PONTO],(+)PERIGO [PONTO]
SER MUITO PERIGOSO [PONTO],(+)PERIGOSO [PONTO]
SER MAIS ARRISCAR QUE PARECER [PONTO],(+)PERIGOSO [PONTO]
SER MUITO ARRISCAR [PONTO],(+)PERIGOSO [PONTO]
CHEGAR MAIS PERTO [PONTO],(+)PERTO [PONTO]
CHEGAR MAIS PERTO [PONTO],(+)PERTO [PONTO]
CHEGAR MAIS PERTO [PONTO],(+)PERTO [PONTO]
CHEGAR MUITO PERTO [PONTO],(+)PERTO [PONTO]
ESTAR BEM PERTO [PONTO],(+)PERTO [PONTO]
EU SER MUITO MAIS PESAR QUE VOCÊ [PONTO],(+)PESADO MAIS_QUANTIDADE 1S_DO_QUE_2S  [PONTO]
EU SER MUITO MAIS PESAR QUE VOCÊ [PONTO],(+)PESADO MAIS_QUANTIDADE 1S_DO_QUE_2S  [PONTO]
MUITO PESQUISADOR APONTAR QUE ESTUDO MILGRAM IR CONDUZIR CONDIÇÃO LABORATÓRIO POR_ISSO FALAR QUE TER PERGUNTAR SE ISTO NOS FALAR MUITO SOBRE SITUAÇÃO VIDA REAL [PONTO] ELES CONCLUIR QUE NÓS OBEDECER VARIEDADE SITUAÇÃO VIDA REAL QUE SER MUITO MAIS SUTIS QUE INSTRUÇÃO PARA DAR CHOQUE_ELÉTRICO OUTRO PESSOA SER INTERESSANTE VER QUAL FATOR OPERAR OBEDIÊNCIA TODO_DIA [PONTO],(+)PESQUISADOR APONTAR_INDICAR ESTUDO MILGRAM CONDUZIDO CONDIÇÃO LABORATÓRIO ISSO DIZER TER PERGUNTAR ISTO DIZER (+)SITUAÇÃO VIDA REAL [PONTO] ELES CONCLUIR NÓS OBEDECER VARIEDADE SITUAÇÃO VIDA REAL (+)MAIS_QUANTIDADE SUTIS INSTRUÇÃO 1S_DAR_2S CHOQUE_ELÉTRICO OUTRA PESSOA INTERESSANTE VER FATOR OPERAR OBEDIÊNCIA TODO_DIA [PONTO]
MUITO PESSOA NÃO VOTAR [PONTO],(+)PESSOA NÃO_VOTAR [PONTO]
MUITO PESSOA TRANSGÊNERO PREFERIR DESIGNAÇÃO TRANSGÊNERO REJEITAR TRANSEXUAL [PONTO] POR EXEMPLO CHRISTINE JORGENSEN REJEITAR PUBLICAMENTE TERMO TRANSEXUAL 1979 VEZ ISSO SE IDENTIFICAR PUBLICAR COMO TRANSGÊNERO FALAR GÊNERO NÃO_TER VER COM PARCEIRO CAMA TER VER COM IDENTIDADE [PONTO] REFERE-SE PREOCUPAÇÃO QUE TRANSEXUAL IMPLICAR ALGO VER COM SEXUALIDADE QUANDO SE TRATAR REALMENTE IDENTIDADE GÊNERO [PONTO],(+)PESSOA TRANSGÊNERO PREFERIR DESIGNAÇÃO TRANSGÊNERO REJEITAR TRANSEXUAL [PONTO] EXEMPLO CHRISTINE JORGENSEN REJEITAR  PUBLICAMENTE TERMO TRANSEXUAL ANO_DATA 1979 IDENTIFICAR PUBLICAÇÃO IGUAL TRANSGÊNERO DIZER GÊNERO NÃO_TER PARCEIRO CAMA TER IDENTIDADE_GÊNERO [PONTO] REFERIR PREOCUPAÇÃO TRANSEXUAL IMPLICAR ALGO VER SEXUALIDADE TRATAR REALMENTE IDENTIDADE GÊNERO [PONTO]
SER MUITO PESSOAL [PONTO],(+)PESSOAL [PONTO]
ISTO SER MUITO PIOR [PONTO],(+)PIOR [PONTO]
EU SER MUITO POBRE [PONTO],(+)POBRE [PONTO]
SER MUITO POPULAR [PONTO],(+)POPULAR [PONTO]
SER MUITO POPULAR TAMBÉM DEVIDO FACTO CONSTITUIR FRUTA NÃO SAZONAL QUE PODER SER CONSUMIR FRESCA DURANTE TODO ANO [PONTO] COMÉRCIO GLOBAL VARIEDADE CULTIVO MAIOR IMPORTÂNCIA ECONÓMICA SER LONGE CHAMAR BANANA BANANA_CAVENDISH BANANA_CATURRA CULTURA LUSÓFONO QUE SUPERAR POPULARIDADE DÉCADA 1950 VARIEDADE GROS MICHEL DEPOIS ESTE TER SER DIZIMAR MAL-DO-PANAMÁ FUNGO QUE ATACAR RAIZ BANANEIRA [PONTO],(+)POPULAR TAMBÉM CONSTITUIR FRUTA NÃO SAZONAL CONSUMIR FRESCO TODO_ANO [PONTO] COMÉRCIO GLOBAL VARIEDADE CULTIVAR MAIOR IMPORTÂNCIA ECONÔMICA BANANA BANANA CAVENDISH BANANA CATURRA CULTURA LUSÓFONA SUPERAR POPULAR DÉCADA 1950 VARIEDADE GROS MICHEL DEPOIS DIZIMAR MAL PANAMÁ_PAÍS FUNGO ATACAR_AGREDIR RAÍZ BANANEIRA [PONTO]
MUITO POVO DIVERSO ETNIA MIGRAR PARA PLANÍCIE CENTRAL EUROPEU [PONTO],(+)POVO DIVERSA ETNIA MIGRAR PLANÍCIE CENTRAL EUROPEIA [PONTO]
MUITO PRAZER [PONTO],(+)PRAZER [PONTO]
SER MUITO PREGUIÇOSO [PONTO],(+)PREGUIÇA [PONTO]
ESTAR MUITO PREOCUPAR [PONTO],(+)PREOCUPAÇÃO [PONTO]
ESTAR MUITO PREOCUPAR COM ISTO [PONTO],(+)PREOCUPAÇÃO ISTO [PONTO]
ESTAR MUITO PREOCUPAR [PONTO],(+)PREOCUPADO [PONTO]
EU FICAR MUITO PREOCUPAR [PONTO],(+)PREOCUPADO [PONTO]
EU ESTAR MUITO PREOCUPAR [PONTO],(+)PREOCUPADO [PONTO]
ESTAR MUITO PREOCUPAR COM_VOCÊ [PONTO],(+)PREOCUPAR COM VOCÊ [PONTO]
ESTAR MUITO QUENTE [PONTO],(+)QUENTE [PONTO]
ESTAR MUITO QUENTE [PONTO],(+)QUENTE [PONTO]
SER MUITO QUENTE [PONTO],(+)QUENTE [PONTO]
ESTAR MUITO QUENTE [PONTO],(+)QUENTE [PONTO]
ESTAR MUITO QUENTE PARA MIM [PONTO],(+)QUENTE [PONTO]
ESTAR MUITO QUENTE [PONTO],(+)QUENTE [PONTO]
ESTAR MUITO QUENTE [PONTO],(+)QUENTE [PONTO]
ESTAR MUITO QUENTE [PONTO],(+)QUENTE [PONTO]
SER MUITO QUENTE [PONTO],(+)QUENTE [PONTO]
ESTAR MUITO QUENTE [PONTO],(+)QUENTE [PONTO]
ESTAR MUITO QUENTE AQUI [PONTO],(+)QUENTE AQUI [PONTO]
ESTAR MUITO QUENTE AQUI [PONTO],(+)QUENTE AQUI [PONTO]
ESTAR MUITO QUENTE AQUI [PONTO],(+)QUENTE AQUI [PONTO]
ESTAR BEM QUENTE HOJE [PONTO],(+)QUENTE HOJE [PONTO]
ESTAR MUITO QUENTE HOJE [PONTO],(+)QUENTE HOJE [PONTO]
EU QUERER MUITO ISSO [PONTO],(+)QUERER [PONTO]
QUERER MUITO ISSO [PONTO],(+)QUERER [PONTO]
EU ESTAR MUITO ZANGAR MESMO [EXCLAMAÇÃO],(+)RAIVA [EXCLAMAÇÃO]
ESTAR MUITO ZANGAR MESMO [EXCLAMAÇÃO],(+)RAIVA [PONTO]
EU SER MUITO RÁPIDO [PONTO],(+)RÁPIDO [PONTO]
EU SER MUITO RÁPIDA [PONTO],(+)RÁPIDO [PONTO]
SER MUITO RARO [PONTO],(+)RARO [PONTO]
ISSO SER MUITO RARO [PONTO],(+)RARO [PONTO]
SER MUITO RARO [PONTO],(+)RARO [PONTO]
ISSO SER MUITO RARO [PONTO],(+)RARO [PONTO]
ESTAR MUITO RELAXAR [PONTO],(+)RELAXADO [PONTO]
EU ESTAR MUITO RELAXAR [PONTO],(+)RELAXADO [PONTO]
ISSO SER TÃO RELAXANTE [PONTO],(+)RELAXANTE [PONTO]
SER TÃO RELAXANTE [PONTO],(+)RELAXANTE [PONTO]
SER MUITO REVOLTANTE [PONTO],(+)REVOLTANTE [PONTO]
EU SER MUITO RICO [PONTO],(+)RICO [PONTO]
EU SER MUITO RICO [PONTO],(+)RICO [PONTO]
EU SER MUITO RÍGIDO [PONTO],(+)RÍGIDO [PONTO]
